SKU Name,Channel,Price,Shipping,Commission,Kol Stock,Kol DRR,Pith Stock,Pith DRR,Har Stock,Har DRR,Blr Stock,Blr DRR,Unalloc Stock,Factory Stock,WIP Stock,Ad Spend,Orders,Returns,Impressions,Clicks,Ads Active,Rating,Reviews
Adult_pant_L_10_pk1,Meesho,359,71,0,1903,36,2172,0,41,23,0,0,130,0,0,0,130,0,0,0,false,0,0
Adult_pant_L_20_pk2,Meesho,0,0,0,27,9,203,4,0,0,79,10,0,0,0,0,23,0,0,0,false,0,0
Adult_pant_L_30_pk3,Meesho,0,0,0,27,10,90,6,94,3,0,14,0,0,0,0,30,0,0,0,false,0,0
Adult_pant_L_60_pk6,Meesho,0,0,0,14,4,59,8,0,0,0,10,0,0,0,0,22,0,0,0,false,0,0
Adult_pant_M_10_pk1,Meesho,0,0,0,169,65,1738,33,561,14,0,76,0,0,0,0,174,0,0,0,false,0,0
Adult_pant_M_20_pk2,Meesho,0,0,0,2,9,77,14,150,0,192,25,0,0,0,0,48,0,0,0,false,0,0
Adult_pant_M_30_pk3,Meesho,0,0,0,0,1,238,3,0,0,-1,0,0,0,0,0,4,0,0,0,false,0,0
Adult_pant_M_60_pk6,Meesho,0,0,0,6,7,11,15,0,0,0,11,0,0,0,0,33,0,0,0,false,0,0
Adult_pant_XL_10_pk1,Meesho,0,0,0,2845,2,2324,1,1300,0,688,1,0,0,0,0,4,0,0,0,false,0,0
Adult_pant_XL_20_pk2,Meesho,0,0,0,64,1,275,1,0,0,82,2,0,0,0,0,4,0,0,0,false,0,0
Adult_pant_XL_30_pk3,Meesho,0,0,0,77,1,217,2,0,0,43,3,0,0,0,0,6,0,0,0,false,0,0
Adult_pant_XL_60_pk6,Meesho,0,0,0,18,4,81,2,63,0,111,5,0,0,0,0,11,0,0,0,false,0,0
Baby_L_124_pk2,Meesho,0,0,0,290,3,145,3,0,0,272,7,0,0,0,0,13,0,0,0,false,0,0
Baby_L_186_pk3,Meesho,0,0,0,156,0,394,2,12,0,147,0,0,0,0,0,2,0,0,0,false,0,0
Baby_L_32_pk1,Meesho,0,0,0,1049,21,292,140,413,0,2259,19,0,0,0,0,180,0,0,0,false,0,0
Baby_L_62_pk1,Meesho,0,0,0,17,54,585,21,660,0,789,47,0,0,0,0,122,0,0,0,false,0,0
Baby_M_144_pk2,Meesho,0,0,0,52,13,58,7,23,0,478,12,0,0,0,0,32,0,0,0,false,0,0
Baby_M_216_pk3,Meesho,0,0,0,15,6,1,3,30,0,1,2,0,0,0,0,11,0,0,0,false,0,0
Baby_M_36_pk1,Meesho,0,0,0,2894,50,4164,85,328,0,317,43,0,0,0,0,178,0,0,0,false,0,0
Baby_M_72_pk1,Meesho,0,0,0,703,74,0,31,218,0,444,26,0,0,0,0,131,0,0,0,false,0,0
Baby_S_156_pk2,Meesho,0,0,0,20,3,0,0,3,0,90,3,0,0,0,0,6,0,0,0,false,0,0
Baby_S_234_pk3,Meesho,0,0,0,65,4,30,2,12,0,55,3,0,0,0,0,9,0,0,0,false,0,0
Baby_S_40_pk1,Meesho,0,0,0,268,28,2441,61,403,0,1919,28,0,0,0,0,117,0,0,0,false,0,0
Baby_S_78_pk1,Meesho,0,0,0,370,20,868,7,211,0,838,19,0,0,0,0,46,0,0,0,false,0,0
Baby_Wipes_240_pk3,Meesho,0,0,0,809,1,1281,0,421,0,90,0,0,0,0,0,1,0,0,0,false,0,0
Baby_Wipes_480_pk6,Meesho,0,0,0,364,0,304,0,80,0,145,0,0,0,0,0,0,0,0,0,false,0,0
Baby_Wipes_720_pk9,Meesho,0,0,0,202,0,493,0,89,0,49,0,0,0,0,0,0,0,0,0,false,0,0
Baby_XL_108_pk2,Meesho,0,0,0,14,2,68,2,87,0,108,6,0,0,0,0,10,0,0,0,false,0,0
Baby_XL_162_pk3,Meesho,0,0,0,192,2,20,1,15,0,51,0,0,0,0,0,3,0,0,0,false,0,0
Baby_XL_28_pk1,Meesho,0,0,0,697,10,616,12,641,0,466,7,0,0,0,0,29,0,0,0,false,0,0
Baby_XL_54_pk1,Meesho,0,0,0,564,11,617,6,283,0,1008,12,0,0,0,0,29,0,0,0,false,0,0
Baby_XXL_126_pk3,Meesho,0,0,0,95,1,918,0,10,0,148,0,0,0,0,0,1,0,0,0,false,0,0
Baby_XXL_22_pk1,Meesho,0,0,0,605,16,536,9,722,0,663,11,0,0,0,0,36,0,0,0,false,0,0
Baby_XXL_42_pk1,Meesho,0,0,0,804,4,938,2,104,0,383,4,0,0,0,0,10,0,0,0,false,0,0
Baby_XXL_84_pk2,Meesho,0,0,0,40,0,68,1,7,0,632,1,0,0,0,0,2,0,0,0,false,0,0
Baby_Wipes_80_pk1,Meesho,0,0,0,715,0,284,0,1401,0,258,0,0,0,0,0,0,0,0,0,false,0,0
wipes_720_pk9,Meesho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0
